datetime,q_cms,conc
4/7/2020 9:00,0.0024,11.998
4/7/2020 9:30,0.0024,11.954
4/7/2020 10:00,0.0024,11.681
4/7/2020 10:30,0.0024,11.794
4/7/2020 11:00,0.0024,11.696
4/7/2020 11:30,0.0024,11.692
4/7/2020 12:00,0.0023,11.742
4/7/2020 12:30,0.0023,11.691
4/7/2020 13:00,0.0023,11.678
4/7/2020 13:30,0.0023,11.665
4/7/2020 14:00,0.0023,11.683
4/7/2020 14:30,0.0023,11.477
4/7/2020 15:00,0.0023,11.529
4/7/2020 15:30,0.0023,11.311
4/7/2020 16:00,0.0023,11.205
4/7/2020 16:30,0.0024,11.167
4/7/2020 17:00,0.0024,11.15
4/7/2020 17:30,0.0024,11.064
4/7/2020 18:00,0.0024,11.106
4/7/2020 18:30,0.0023,11.128
4/7/2020 19:00,0.0023,11.162
4/7/2020 19:30,0.0023,11.205
4/7/2020 20:00,0.0023,11.114
4/7/2020 20:30,0.0023,11.132
4/7/2020 21:00,0.0023,11.208
4/7/2020 21:30,0.0023,11.171
4/7/2020 22:00,0.0023,11.176
4/7/2020 22:30,0.0023,11.161
4/7/2020 23:00,0.0023,11.207
4/7/2020 23:30,0.0023,11.225
4/8/2020 0:00,0.0023,11.208
4/8/2020 0:30,0.0023,11.226
4/8/2020 1:00,0.0023,11.296
4/8/2020 1:30,0.0063,10.824
4/8/2020 2:00,0.0303,9.353
4/8/2020 2:30,0.0391,6.123
4/8/2020 3:00,0.0325,5.48
4/8/2020 3:30,0.0241,5.532
4/8/2020 4:00,0.0183,5.869
4/8/2020 4:30,0.0152,6.201
4/8/2020 5:00,0.0132,6.666
4/8/2020 5:30,0.0115,7.008
4/8/2020 6:00,0.0101,7.374
4/8/2020 6:30,0.009,7.563
4/8/2020 7:00,0.0082,7.933
4/8/2020 7:30,0.0077,8.006
4/8/2020 8:00,0.0072,8.254
4/8/2020 8:30,0.0069,8.302
4/8/2020 9:00,0.0066,8.429
4/8/2020 9:30,0.0062,8.532
4/8/2020 10:00,0.006,8.615
4/8/2020 10:30,0.0057,8.689
4/8/2020 11:00,0.0055,8.752
4/8/2020 11:30,0.0053,8.917
4/8/2020 12:00,0.0051,9.13
4/8/2020 12:30,0.0049,9.15
4/8/2020 13:00,0.0047,9.19
4/8/2020 13:30,0.0046,9.214
4/8/2020 14:00,0.0044,9.339
4/8/2020 14:30,0.0043,9.464
4/8/2020 15:00,0.0042,9.462
4/8/2020 15:30,0.0041,9.653
4/8/2020 16:00,0.0039,9.717
4/8/2020 16:30,0.0039,9.788
4/8/2020 17:00,0.0038,9.888
4/8/2020 17:30,0.0038,10.003
4/8/2020 18:00,0.0038,10.031
4/8/2020 18:30,0.0038,10.139
4/8/2020 19:00,0.0038,10.277
4/8/2020 19:30,0.0037,10.316
4/8/2020 20:00,0.0037,10.358
4/8/2020 20:30,0.0037,10.554
4/8/2020 21:00,0.0037,10.548
4/8/2020 21:30,0.0037,10.641
4/8/2020 22:00,0.0037,10.614
4/8/2020 22:30,0.0036,10.813
4/8/2020 23:00,0.0036,10.739
4/8/2020 23:30,0.0036,10.954
4/9/2020 0:00,0.0036,10.974
4/9/2020 0:30,0.0036,11.098
4/9/2020 1:00,0.0036,10.976
4/9/2020 1:30,0.0036,11.099
4/9/2020 2:00,0.0035,11.102
4/9/2020 2:30,0.0035,11.099
4/9/2020 3:00,0.0034,11.203
4/9/2020 3:30,0.0033,11.159
4/9/2020 4:00,0.0033,11.208
4/9/2020 4:30,0.0033,11.285
4/9/2020 5:00,0.0033,11.396
4/9/2020 5:30,0.0034,11.351
4/9/2020 6:00,0.0034,11.379
