datetime,q_cms,conc
4/7/2020 9:00,0.0024,3.714
4/7/2020 9:30,0.0024,3.452
4/7/2020 10:00,0.0024,3.579
4/7/2020 10:30,0.0024,3.613
4/7/2020 11:00,0.0024,3.639
4/7/2020 11:30,0.0024,3.759
4/7/2020 12:00,0.0023,3.787
4/7/2020 12:30,0.0023,3.823
4/7/2020 13:00,0.0023,3.471
4/7/2020 13:30,0.0023,3.943
4/7/2020 14:00,0.0023,3.96
4/7/2020 14:30,0.0023,4.127
4/7/2020 15:00,0.0023,4.132
4/7/2020 15:30,0.0023,4.138
4/7/2020 16:00,0.0023,4.131
4/7/2020 16:30,0.0024,4.144
4/7/2020 17:00,0.0024,4.176
4/7/2020 17:30,0.0024,4.082
4/7/2020 18:00,0.0024,4.086
4/7/2020 18:30,0.0023,4.031
4/7/2020 19:00,0.0023,4.101
4/7/2020 19:30,0.0023,4.142
4/7/2020 20:00,0.0023,4.097
4/7/2020 20:30,0.0023,4.067
4/7/2020 21:00,0.0023,4.061
4/7/2020 21:30,0.0023,3.99
4/7/2020 22:00,0.0023,3.977
4/7/2020 22:30,0.0023,3.913
4/7/2020 23:00,0.0023,3.904
4/7/2020 23:30,0.0023,3.892
4/8/2020 0:00,0.0023,3.906
4/8/2020 0:30,0.0023,3.913
4/8/2020 1:00,0.0023,3.862
4/8/2020 1:30,0.0063,7.676
4/8/2020 2:00,0.0303,18.686
4/8/2020 2:30,0.0391,28.247
4/8/2020 3:00,0.0325,23.788
4/8/2020 3:30,0.0241,21.904
4/8/2020 4:00,0.0183,19.702
4/8/2020 4:30,0.0152,17.499
4/8/2020 5:00,0.0132,15.358
4/8/2020 5:30,0.0115,13.697
4/8/2020 6:00,0.0101,12.437
4/8/2020 6:30,0.009,11.4
4/8/2020 7:00,0.0082,10.417
4/8/2020 7:30,0.0077,9.791
4/8/2020 8:00,0.0072,9.281
4/8/2020 8:30,0.0069,8.835
4/8/2020 9:00,0.0066,8.512
4/8/2020 9:30,0.0062,8.194
4/8/2020 10:00,0.006,8.004
4/8/2020 10:30,0.0057,7.746
4/8/2020 11:00,0.0055,7.597
4/8/2020 11:30,0.0053,7.431
4/8/2020 12:00,0.0051,7.348
4/8/2020 12:30,0.0049,7.003
4/8/2020 13:00,0.0047,6.883
4/8/2020 13:30,0.0046,6.69
4/8/2020 14:00,0.0044,6.516
4/8/2020 14:30,0.0043,6.487
4/8/2020 15:00,0.0042,6.195
4/8/2020 15:30,0.0041,6.056
4/8/2020 16:00,0.0039,5.94
4/8/2020 16:30,0.0039,5.932
4/8/2020 17:00,0.0038,5.824
4/8/2020 17:30,0.0038,5.621
4/8/2020 18:00,0.0038,5.486
4/8/2020 18:30,0.0038,5.398
4/8/2020 19:00,0.0038,5.314
4/8/2020 19:30,0.0037,5.332
4/8/2020 20:00,0.0037,5.181
4/8/2020 20:30,0.0037,5.166
4/8/2020 21:00,0.0037,5.158
4/8/2020 21:30,0.0037,4.877
4/8/2020 22:00,0.0037,4.916
4/8/2020 22:30,0.0036,4.847
4/8/2020 23:00,0.0036,4.802
4/8/2020 23:30,0.0036,4.714
4/9/2020 0:00,0.0036,4.706
4/9/2020 0:30,0.0036,4.766
4/9/2020 1:00,0.0036,4.588
4/9/2020 1:30,0.0036,4.641
4/9/2020 2:00,0.0035,4.528
4/9/2020 2:30,0.0035,4.582
4/9/2020 3:00,0.0034,4.421
4/9/2020 3:30,0.0033,4.416
4/9/2020 4:00,0.0033,4.408
4/9/2020 4:30,0.0033,4.352
4/9/2020 5:00,0.0033,4.326
4/9/2020 5:30,0.0034,4.331
4/9/2020 6:00,0.0034,4.391
4/9/2020 6:30,0.0034,4.44
4/9/2020 7:00,0.0035,4.359
4/9/2020 7:30,0.0035,4.461
4/9/2020 8:00,0.0035,4.372
4/9/2020 8:30,0.0035,4.414
4/9/2020 9:00,0.0035,4.549
4/9/2020 9:30,0.0035,4.504
4/9/2020 10:00,0.0037,4.511
4/9/2020 10:30,0.005,6.913
4/9/2020 11:00,0.0074,7.873
4/9/2020 11:30,0.0092,10.948
4/9/2020 12:00,0.0098,10.757
4/9/2020 12:30,0.0089,11.237
4/9/2020 13:00,0.0078,10.727
4/9/2020 13:30,0.007,10.618
4/9/2020 14:00,0.0064,9.954
4/9/2020 14:30,0.0058,9.501
4/9/2020 15:00,0.0054,8.831
4/9/2020 15:30,0.0051,8.218
4/9/2020 16:00,0.0049,7.678
4/9/2020 16:30,0.0047,7.273
4/9/2020 17:00,0.0045,6.896
4/9/2020 17:30,0.0045,6.559
4/9/2020 18:00,0.0043,6.216
4/9/2020 18:30,0.0043,5.976
4/9/2020 19:00,0.0042,5.844
4/9/2020 19:30,0.0041,5.661
4/9/2020 20:00,0.0041,5.524
4/9/2020 20:30,0.004,5.336
4/9/2020 21:00,0.004,5.533
4/9/2020 21:30,0.004,5.423
4/9/2020 22:00,0.0039,5.017
4/9/2020 22:30,0.0039,6.322
4/9/2020 23:00,0.0039,6.862
4/9/2020 23:30,0.0039,6.129
4/10/2020 0:00,0.0039,5.803
4/10/2020 0:30,0.0038,4.875
4/10/2020 1:00,0.0038,4.952
4/10/2020 1:30,0.0038,4.839
4/10/2020 2:00,0.0038,4.732
4/10/2020 2:30,0.0038,4.541
4/10/2020 3:00,0.0038,4.414
4/10/2020 3:30,0.0037,4.603
4/10/2020 4:00,0.0037,4.616
4/10/2020 4:30,0.0037,4.395
4/10/2020 5:00,0.0037,4.384
