datetime,q_cms,conc
4/7/2020 9:00,0.0024,8.841
4/7/2020 9:30,0.0024,7.498
4/7/2020 10:00,0.0024,7.778
4/7/2020 10:30,0.0024,7.694
4/7/2020 11:00,0.0024,7.439
4/7/2020 11:30,0.0024,7.879
4/7/2020 12:00,0.0023,7.878
4/7/2020 12:30,0.0023,7.516
4/7/2020 13:00,0.0023,24.812
4/7/2020 13:30,0.0023,7.689
4/7/2020 14:00,0.0023,7.677
4/7/2020 14:30,0.0023,8.223
4/7/2020 15:00,0.0023,7.985
4/7/2020 15:30,0.0023,8.051
4/7/2020 16:00,0.0023,7.855
4/7/2020 16:30,0.0024,7.777
4/7/2020 17:00,0.0024,8.241
4/7/2020 17:30,0.0024,7.671
4/7/2020 18:00,0.0024,7.807
4/7/2020 18:30,0.0023,7.736
4/7/2020 19:00,0.0023,8.431
4/7/2020 19:30,0.0023,8.954
4/7/2020 20:00,0.0023,8.841
4/7/2020 20:30,0.0023,8.573
4/7/2020 21:00,0.0023,8.74
4/7/2020 21:30,0.0023,8.466
4/7/2020 22:00,0.0023,8.698
4/7/2020 22:30,0.0023,8.306
4/7/2020 23:00,0.0023,8.383
4/7/2020 23:30,0.0023,8.395
4/8/2020 0:00,0.0023,8.354
4/8/2020 0:30,0.0023,8.609
4/8/2020 1:00,0.0023,8.407
4/8/2020 1:30,0.0063,33.701
4/8/2020 2:00,0.0303,72.811
4/8/2020 2:30,0.0391,96.893
4/8/2020 3:00,0.0325,47.244
4/8/2020 3:30,0.0241,31.284
4/8/2020 4:00,0.0183,24.456
4/8/2020 4:30,0.0152,20.816
4/8/2020 5:00,0.0132,17.853
4/8/2020 5:30,0.0115,15.829
4/8/2020 6:00,0.0101,14.564
4/8/2020 6:30,0.009,13.709
4/8/2020 7:00,0.0082,12.474
4/8/2020 7:30,0.0077,12.058
4/8/2020 8:00,0.0072,11.928
4/8/2020 8:30,0.0069,11.465
4/8/2020 9:00,0.0066,11.198
4/8/2020 9:30,0.0062,10.948
4/8/2020 10:00,0.006,11.156
4/8/2020 10:30,0.0057,10.735
4/8/2020 11:00,0.0055,11.121
4/8/2020 11:30,0.0053,11.109
4/8/2020 12:00,0.0051,11.156
4/8/2020 12:30,0.0049,10.135
4/8/2020 13:00,0.0047,10.141
4/8/2020 13:30,0.0046,9.956
4/8/2020 14:00,0.0044,9.755
4/8/2020 14:30,0.0043,10.219
4/8/2020 15:00,0.0042,9.298
4/8/2020 15:30,0.0041,9.309
4/8/2020 16:00,0.0039,9.328
4/8/2020 16:30,0.0039,9.939
4/8/2020 17:00,0.0038,10.123
4/8/2020 17:30,0.0038,9.594
4/8/2020 18:00,0.0038,9.392
4/8/2020 18:30,0.0038,9.339
4/8/2020 19:00,0.0038,9.44
4/8/2020 19:30,0.0037,10.134
4/8/2020 20:00,0.0037,9.802
4/8/2020 20:30,0.0037,10.271
4/8/2020 21:00,0.0037,10.634
4/8/2020 21:30,0.0037,9.487
4/8/2020 22:00,0.0037,9.915
4/8/2020 22:30,0.0036,9.867
4/8/2020 23:00,0.0036,9.79
4/8/2020 23:30,0.0036,9.458
4/9/2020 0:00,0.0036,9.559
4/9/2020 0:30,0.0036,10.14
4/9/2020 1:00,0.0036,9.239
4/9/2020 1:30,0.0036,9.886
4/9/2020 2:00,0.0035,9.316
4/9/2020 2:30,0.0035,9.719
4/9/2020 3:00,0.0034,8.965
4/9/2020 3:30,0.0033,8.983
4/9/2020 4:00,0.0033,9.012
4/9/2020 4:30,0.0033,8.858
4/9/2020 5:00,0.0033,8.746
4/9/2020 5:30,0.0034,8.864
4/9/2020 6:00,0.0034,8.894
4/9/2020 6:30,0.0034,8.959
4/9/2020 7:00,0.0035,8.371
4/9/2020 7:30,0.0035,8.752
4/9/2020 8:00,0.0035,8.395
4/9/2020 8:30,0.0035,8.651
4/9/2020 9:00,0.0035,9.274
4/9/2020 9:30,0.0035,8.947
4/9/2020 10:00,0.0037,8.817
4/9/2020 10:30,0.005,18.536
4/9/2020 11:00,0.0074,16.137
4/9/2020 11:30,0.0092,26.071
4/9/2020 12:00,0.0098,18.489
4/9/2020 12:30,0.0089,17.753
4/9/2020 13:00,0.0078,14.731
4/9/2020 13:30,0.007,14.107
4/9/2020 14:00,0.0064,12.955
4/9/2020 14:30,0.0058,12.759
4/9/2020 15:00,0.0054,12.088
4/9/2020 15:30,0.0051,11.702
4/9/2020 16:00,0.0049,11.002
4/9/2020 16:30,0.0047,10.912
4/9/2020 17:00,0.0045,10.598
4/9/2020 17:30,0.0045,10.503
4/9/2020 18:00,0.0043,9.981
4/9/2020 18:30,0.0043,9.773
4/9/2020 19:00,0.0042,10.129
4/9/2020 19:30,0.0041,10.164
4/9/2020 20:00,0.0041,10.123
4/9/2020 20:30,0.004,9.797
4/9/2020 21:00,0.004,10.948
4/9/2020 21:30,0.004,10.794
4/9/2020 22:00,0.0039,9.007
4/9/2020 22:30,0.0039,17.402
4/9/2020 23:00,0.0039,21.612
4/9/2020 23:30,0.0039,17.634
4/10/2020 0:00,0.0039,15.241
4/10/2020 0:30,0.0038,9.571
4/10/2020 1:00,0.0038,9.892
4/10/2020 1:30,0.0038,9.547
4/10/2020 2:00,0.0038,9.238
4/10/2020 2:30,0.0038,8.413
